family_label,variation,variation_keys,category,year,name,source_formula,symbol,semantic,canonical_parameter,kept,reason
All-Pairs Shortest Paths,APSP on Dense Directed Graphs with Arbitrary Weights,apsp on dense directed graphs with arbitrary weights,serial,2014.0,Williams,$O(n^3/2^{\sqrt{\log n}})$,n,vertices,vertices in the graph,True,kept
Ast to Code Translation,Arithmetic Expression Binary Tree,arithmetic expression binary tree,serial,1970.0,Sethi–Ullman Algorithm,$O(n)$,n,vertices,vertices in the graph,True,kept
Bcnf Decomposition,Decisional Perfect BCNF,decisional perfect bcnf,serial,1992.0,Liu,$O(kn^2)$,,,an undefined parameter,False,family has no usable input-size parameter
Block Ciphers,Block Ciphers,(general),serial,1976.0,Lucifer / DES,$O(n)$,n,text_length,text length,True,kept
Block Ciphers,Block Ciphers,(general),serial,1991.0,IDEA,$O(n)$,n,text_length,text length,True,kept
Block Ciphers,Block Ciphers,(general),serial,1993.0,Blowfish,$O(n)$,n,text_length,text length,True,kept
Block Ciphers,Block Ciphers,(general),serial,1994.0,RC5,$O(n)$,n,text_length,text length,True,kept
Block Ciphers,Block Ciphers,(general),serial,2001.0,Rijndael / AES,$O(n)$,n,text_length,text length,True,kept
Boolean Satisfiability,2-SAT,2-sat,quantum,2015.0,A linear time algorithm for quantum 2SAT,,,,an undefined parameter,False,formula not usable: no formula recorded
Boolean Satisfiability,k-SAT,k-sat,quantum,2015.0,Computational Complexity of Quantum Satisﬁability,,,,an undefined parameter,False,formula not usable: no formula recorded
Boolean Satisfiability,2-SAT,2-sat,quantum,2016.0,Linear time algorithm for quantum 2SAT,,,,an undefined parameter,False,formula not usable: no formula recorded
Boolean Satisfiability,3-SAT,3-sat,quantum,2017.0,Measurement-driven quantum computing: Performance of a 3-SAT solver,,,,an undefined parameter,False,formula not usable: no formula recorded
Boolean Satisfiability,k-SAT,k-sat,quantum,2023.0,Testing quantum satisfiability,,,,an undefined parameter,False,formula not usable: no formula recorded
Boolean Satisfiability,k-SAT,k-sat,quantum,2024.0,Solving k-SAT problems with generalized quantum measurement,,,,an undefined parameter,False,formula not usable: no formula recorded
Boolean Satisfiability,k-SAT,k-sat,quantum,2024.0,Solving Boolean Satisfiability Problems With The Quantum Approximat...,,,,an undefined parameter,False,formula not usable: no formula recorded
Cardinality Estimation,Cardinality Estimation,(general),serial,1940.0,Naive solution,$O(N)$,,,an undefined parameter,False,year missing or outside 1950-2026
Cardinality Estimation,streaming,streaming,serial,1980.0,Min/max sketches streaming algorithm,$O(N)$,,,an undefined parameter,False,"approximation algorithm, not comparable to an exact runtime"
Cardinality Estimation,streaming,streaming,serial,1980.0,Bottom-m sketches streaming algorithm,$O(N)$,,,an undefined parameter,False,"approximation algorithm, not comparable to an exact runtime"
Cardinality Estimation,Cardinality Estimation,(general),serial,1984.0,Flajolet–Martin algorithm,$O(N)$,,,an undefined parameter,False,"approximation algorithm, not comparable to an exact runtime"
Cardinality Estimation,Cardinality Estimation,(general),serial,2003.0,LogLog algorithm,$O(N)$,,,an undefined parameter,False,"approximation algorithm, not comparable to an exact runtime"
Cardinality Estimation,Cardinality Estimation,(general),serial,2007.0,HyperLogLog algorithm,$O(N)$,,,an undefined parameter,False,"approximation algorithm, not comparable to an exact runtime"
Cardinality Estimation,Cardinality Estimation,(general),serial,2014.0,HyperLogLog++,$O(N)$,,,an undefined parameter,False,"approximation algorithm, not comparable to an exact runtime"
Cfg Problems,CFG Parsing,cfg parsing,parallel,1985.0,Parallel Earley's method,$O(n^3)$,n,string_length,input string length,True,kept
Cfg Problems,CFG Parsing,cfg parsing,parallel,1992.0,"Barnard, Skillicorn",$O(n^3)$,n,string_length,input string length,True,kept
Cfg Problems,CFG Recognition,cfg recognition,serial,1968.0,Cocke–Younger–Kasami algorithm,$O(n^3 |G|)$,,,input string length,False,formula not usable: could not parse 'n^3 |G|' (SyntaxError)
Cfg Problems,CFG Parsing,cfg parsing,serial,1968.0,Earley parser,$O(n^3)$,n,string_length,input string length,True,kept
Cfg Problems,CFG Parsing,cfg parsing,serial,1974.0,GLR parser,$O(n^3)$,n,string_length,input string length,True,kept
Cfg Problems,CFG Recognition,cfg recognition,serial,1975.0,Valiant,$O(n^{\omega} |G|)$,,,input string length,False,formula not usable: could not parse 'n^( omega ) |G|' (SyntaxError)
Change-making Problem,Change-Making Problem,(general),serial,1940.0,Brute Force,$O(S^n)$,,,an undefined parameter,False,year missing or outside 1950-2026
Change-making Problem,Change-Making Problem,(general),serial,1953.0,Dynamic Programming,$O(Sn)$,,,an undefined parameter,False,family has no usable input-size parameter
Change-making Problem,Change-Making Problem,(general),serial,2014.0,Probabilistic Convolution Tree,$O(n \log n)$,,,an undefined parameter,False,"approximation algorithm, not comparable to an exact runtime"
Clique Problems,"Enumerating Maximal Cliques, arbitrary graph","enumerating maximal cliques, arbitrary graph",parallel,1988.0,"Dahlhaus, Karpinski",$O(M^6 n^2 \log^3{nM})$,,,vertices in the graph,False,"also depends on 'M' (number cliques), which has no worst-case bound in terms of vertices in the graph"
Clique Problems,"Enumerating Maximal Cliques, arbitrary graph","enumerating maximal cliques, arbitrary graph",parallel,2018.0,"Das, Sanei-Mehri, Tirthapura",$O(3^{n/3})$,n,vertices,vertices in the graph,True,kept
Clique Problems,Enumerating k-Cliques; k-Clique,enumerating k-cliques; k-clique,parallel,2019.0,Garcia,$O(m^{k/2})$,,,vertices in the graph,False,"measured in edges in the graph, required clique size, but this family is compared in vertices in the graph"
Clique Problems,Max-Weight Clique,max-weight clique,parallel,2021.0,"Shi, Dhulipala, Shun",$O(m \\alpha^{k-2})$,,,vertices in the graph,False,"measured in arboricity which worst case m, edges in the graph, required clique size, but this family is compared in vertices in the graph"
Clique Problems,Max-Weight Clique,max-weight clique,parallel,2021.0,"Gianinazzi, Besta, Schaffner, Hoefler",$O(m \\alpha^{k-2})$,,,vertices in the graph,False,"measured in arboricity which worst case m, edges in the graph, required clique size, but this family is compared in vertices in the graph"
Clique Problems,"Enumerating Maximal Cliques, arbitrary graph","enumerating maximal cliques, arbitrary graph",serial,1973.0,Bron–Kerbosch algorithm,$O(3^{n/3})$,n,vertices,vertices in the graph,True,kept
Clique Problems,"Enumerating Maximal Cliques, arbitrary graph","enumerating maximal cliques, arbitrary graph",serial,1973.0,Akkoyunlu; E. A.,$O(3^{n/3})$,n,vertices,vertices in the graph,True,kept
Clique Problems,"Enumerating Maximal Cliques, arbitrary graph","enumerating maximal cliques, arbitrary graph",serial,1977.0,"Shuji Tsukiyama, Mikio Ide, Hiromu Ariyoshi, and Isao Shirakawa",$O(nm 3^{n/3})$,n,vertices,vertices in the graph,True,kept; substituted worst-case edges in the graph for 'm'
Clique Problems,"Enumerating Maximal Cliques, arbitrary graph","enumerating maximal cliques, arbitrary graph",serial,1985.0,Chiba and Nishizeki,$O(a(G)m 3^{n/3})$,,,vertices in the graph,False,"formula depends on too many parameters (G, a, m, n)"
Clique Problems,"Enumerating Maximal Cliques, arbitrary graph","enumerating maximal cliques, arbitrary graph",serial,1989.0,M. Chrobak and D. Eppstein,$O(n d^2 2^d)$,,,vertices in the graph,False,"also depends on 'd' (degeneracy graph worst case d o n), which has no worst-case bound in terms of vertices in the graph"
Clique Problems,"Enumerating Maximal Cliques, arbitrary graph","enumerating maximal cliques, arbitrary graph",serial,2004.0,"Kazuhisa Makino, Takeaki Uno; Section 5",$O(n^{\omega} 3^{n/3})$,,,vertices in the graph,False,"also depends on 'omega' (exponent on matrix multiplication), which has no worst-case bound in terms of vertices in the graph"
Clique Problems,"Enumerating Maximal Cliques, arbitrary graph","enumerating maximal cliques, arbitrary graph",serial,2006.0,Tomita; Tanaka & Takahashi,$O(3^{n/3})$,n,vertices,vertices in the graph,True,kept
Clique Problems,"Enumerating Maximal Cliques, arbitrary graph","enumerating maximal cliques, arbitrary graph",serial,2010.0,"David Eppstein, Maarten Löffler, Darren Strash",$O(dn 3^{d/3})$,,,vertices in the graph,False,"also depends on 'd' (degeneracy graph worst case d o n), which has no worst-case bound in terms of vertices in the graph"
Clock Synchronization in Distributed Systems,Clock Synchronization in Distributed Systems,(general),serial,2004.0,MATSF,$O(n)$,n,vertices,vertices in the graph,True,kept
Clock Synchronization in Distributed Systems,Clock Synchronization in Distributed Systems,(general),serial,2005.0,ASP,$O(n)$,n,vertices,vertices in the graph,True,kept
Clock Synchronization in Distributed Systems,Clock Synchronization in Distributed Systems,(general),serial,2007.0,Clock-sampling mutual network synchronization,$O(n)$,n,vertices,vertices in the graph,True,kept
Closest Pair Problem,2-dimensional array representation,2-dimensional array representation,parallel,1986.0,"Atallah, Goodrich",$O(n \log n \log \log n)$,n,points,input points,True,kept
Closest Pair Problem,"2-dimensional space, Euclidean metric","2-dimensional space, euclidean metric",parallel,1988.0,Cole & Gooddrich,$O(n \log n)$,n,points,input points,True,kept
Closest Pair Problem,"2-dimensional space, Eucledian metric","2-dimensional space, eucledian metric",parallel,1991.0,"MacKenzie, Stout",$O(n)$ expected,n,points,input points,True,kept
Closest Pair Problem,"k-dimensional space, $l_m$ (or $l_\infty$) norm","k-dimensional space, $l_m$ (or $l_\infty$) norm",parallel,1992.0,Lenhof & Smid,$O(nlog n \log \log n + k)$,,,input points,False,"also depends on 'k' (kth closest pair), which has no worst-case bound in terms of input points"
Closest Pair Problem,"2-dimensional space, Euclidean metric","2-dimensional space, euclidean metric",parallel,1993.0,Callahan,$O(n \log n)$,n,points,input points,True,kept
Closest Pair Problem,Euclidean space in k dimensions,euclidean space in k dimensions,parallel,2016.0,"Blelloch, Gu, Shun, Sun",$O(n)$ expected,n,points,input points,True,kept
Closest Pair Problem,Euclidean space in k dimensions,euclidean space in k dimensions,quantum,2020.0,"Aaronson, Chia, Lin, Wang, Zhang",,,,input points,False,formula not usable: no formula recorded
Closest Pair Problem,"k-dimensional space, l_m (or l_infty) norm","k-dimensional space, l_m (or l_infty) norm",serial,1975.0,Naive Implementation,$O(kn^2)$,,,input points,False,"also depends on 'k' (dimension space), which has no worst-case bound in terms of input points"
Closest Pair Problem,"2-dimensional space, Euclidean metric","2-dimensional space, euclidean metric",serial,1975.0,Shamos; Hoey,$O(n \log n)$,n,points,input points,True,kept
Closest Pair Problem,"k-dimensional space, l_m (or l_infty) norm","k-dimensional space, l_m (or l_infty) norm",serial,1976.0,Rabin' Algorithm,$O(3^k n^2)$,,,input points,False,"also depends on 'k' (dimension space), which has no worst-case bound in terms of input points"
Closest Pair Problem,"k-dimensional space, l_m (or l_infty) norm","k-dimensional space, l_m (or l_infty) norm",serial,1976.0,Bentley; Shamos,$O(kn \log n)$,,,input points,False,"also depends on 'k' (dimension space), which has no worst-case bound in terms of input points"
Closest Pair Problem,"k-dimensional space, l_m (or l_infty) norm","k-dimensional space, l_m (or l_infty) norm",serial,1979.0,Fortune and Hopcroft,$O(kn \log\log n + n 3^k)$,,,input points,False,"also depends on 'k' (dimension space), which has no worst-case bound in terms of input points"
Closest Pair Problem,"2-dimensional space, l_m (or l_infty) norm","2-dimensional space, l_m (or l_infty) norm",serial,1988.0,Hinrichs; Nievergelt; Schorn,$O(n \log n)$,n,points,input points,True,kept
Closest Pair Problem,"2-dimensional space, Euclidean metric","2-dimensional space, euclidean metric",serial,1995.0,Khuller; Matias,$O(n)$,n,points,input points,True,kept
Collaborative Filtering,Matrix Factorization,matrix factorization,serial,1945.0,LU Matrix Decomposition,$O(n^3)$,,,matrix dimension,False,year missing or outside 1950-2026
Collaborative Filtering,Matrix Factorization,matrix factorization,serial,1955.0,QR Matrix Decomposition,$O(n^2)$,n,matrix_dim,matrix dimension,True,kept
Collaborative Filtering,Matrix Factorization,matrix factorization,serial,1983.0,Cholesky Decomposition,$O(n^2)$,n,matrix_dim,matrix dimension,True,kept
Constructing Eulerian Trails in a Graph,Constructing Eulerian Trails in a Graph,(general),parallel,1984.0,"Atallah, Vishkin",$O(E \log V)$,V,vertices,vertices in the graph,True,kept; substituted worst-case edges in the graph for 'E'
Constructing Eulerian Trails in a Graph,Constructing Eulerian Trails in a Graph,(general),parallel,1984.0,"Awerbuch, Israeli, Shiloach",$O(E \log V)$,V,vertices,vertices in the graph,True,kept; substituted worst-case edges in the graph for 'E'
Constructing Eulerian Trails in a Graph,Constructing Eulerian Trails in a Graph,(general),parallel,1993.0,"Caceres, Deo, Sastry, Szwarcfiter",$O(E \log V)$,V,vertices,vertices in the graph,True,kept; substituted worst-case edges in the graph for 'E'
Constructing Eulerian Trails in a Graph,Constructing Eulerian Trails in a Graph,(general),parallel,1999.0,"Park, Ryu",$O(E \log V)$,V,vertices,vertices in the graph,True,kept; substituted worst-case edges in the graph for 'E'
Constructing Eulerian Trails in a Graph,Constructing Eulerian Trails in a Graph,(general),parallel,2003.0,"Caceres, Nasu",$O(E \log p)$,,,vertices in the graph,False,"measured in edges in the graph, processors, but this family is compared in vertices in the graph"
Constructing Eulerian Trails in a Graph,Constructing Eulerian Trails in a Graph,(general),serial,1873.0,Hierholzer's algorithm,$O(E)$,,,vertices in the graph,False,year missing or outside 1950-2026
Constructing Eulerian Trails in a Graph,Constructing Eulerian Trails in a Graph,(general),serial,1974.0,Fleury's algorithm + Tarjan,$O(E^2)$,,,vertices in the graph,False,"measured in edges in the graph, but this family is compared in vertices in the graph"
Constructing Eulerian Trails in a Graph,Constructing Eulerian Trails in a Graph,(general),serial,2000.0,Fleury's algorithm + Thorup,$O(E \log^3(E) \log\log E)$,,,vertices in the graph,False,"measured in edges in the graph, but this family is compared in vertices in the graph"
Constructing Suffix Trees,Constructing Suffix Trees,(general),parallel,1986.0,"Landau, Vishkin",$O(n^2)$ ?,n,string_length,input string length,True,kept
Constructing Suffix Trees,Constructing Suffix Trees,(general),parallel,1987.0,"Landau, Schieber, Vishkin",$O(n \log n)$ ?,n,string_length,input string length,True,kept
Constructing Suffix Trees,Constructing Suffix Trees,(general),parallel,1988.0,"Apostolico, Iliopoulos, Landau, Schieber, Vishkin",$O((n \log n)/eps)$,,,input string length,False,"also depends on 'p' (an undefined parameter), 's' (an undefined parameter), which has no worst-case bound in terms of input string length"
Constructing Suffix Trees,Constructing Suffix Trees,(general),parallel,1994.0,Süleyman Cenk Sahinalp ; Uzi Vishkin,$O(n \log^* n)$,n,string_length,input string length,True,kept
Constructing Suffix Trees,Constructing Suffix Trees,(general),parallel,1997.0,Hariharan,$O(n)$,n,string_length,input string length,True,kept
Constructing Suffix Trees,Constructing Suffix Trees,(general),parallel,1997.0,Farach,$O(n)$,n,string_length,input string length,True,kept
Constructing Suffix Trees,Constructing Suffix Trees,(general),parallel,2004.0,Rytter,$O(n\log n)$,n,string_length,input string length,True,kept
Constructing Suffix Trees,Constructing Suffix Trees,(general),parallel,2011.0,"Blelloch, Shun",$O(n)$,n,string_length,input string length,True,kept
Constructing Suffix Trees,Constructing Suffix Trees,(general),serial,1973.0,Naive,$O(n^2)$,n,string_length,input string length,True,kept
Constructing Suffix Trees,Constructing Suffix Trees,(general),serial,1973.0,Weiner's algorithm,$O(n)$,n,string_length,input string length,True,kept
Constructing Suffix Trees,Constructing Suffix Trees,(general),serial,1976.0,McCreight,$O(n)$,n,string_length,input string length,True,kept
Constructing Suffix Trees,Constructing Suffix Trees,(general),serial,1993.0,Ukkonen and D. Wood,$O(n^2)$,n,string_length,input string length,True,kept
Constructing Suffix Trees,Constructing Suffix Trees,(general),serial,1995.0,Ukkonen,$O(n)$,n,string_length,input string length,True,kept
Convex Hull,2-dimensional Convex Hull,2-dimensional convex hull,parallel,1980.0,Chow,$O(n \log^2(n))$,n,points,input points,True,kept
Convex Hull,3-dimensional Convex Hull,3-dimensional convex hull,parallel,1980.0,Chow,$O(n \log^3 n)$,n,points,input points,True,kept
Convex Hull,2-dimensional Convex Hull,2-dimensional convex hull,parallel,1981.0,"Nath, Maheshwari, Bhatt [modified CONVEXHULL-4]",$O(n \log n + k \log k \log n)$,,,input points,False,"also depends on 'k' (processor parameter 1 k n), which has no worst-case bound in terms of input points"
Convex Hull,2-dimensional Convex Hull,2-dimensional convex hull,parallel,1981.0,"Nath, Maheshwari, Bhatt [CONVEXHULL-5]",$O(n \log^2(n))$,n,points,input points,True,kept
Convex Hull,2-dimensional Convex Hull,2-dimensional convex hull,parallel,1982.0,Akl,$O(n^3)$,n,points,input points,True,kept
Convex Hull,2-dimensional Convex Hull,2-dimensional convex hull,parallel,1984.0,Akl,$O(n \log h)$,n,points,input points,True,kept; substituted worst-case hull size for 'h'
Convex Hull,2-dimensional Convex Hull,2-dimensional convex hull,parallel,1986.0,"Atallah, Goodrich",$O(n \log n)$,n,points,input points,True,kept
Convex Hull,2-dimensional Convex Hull,2-dimensional convex hull,parallel,1986.0,Stout,$O(n \log n)$ ?,n,points,input points,True,kept
Convex Hull,3-dimensional Convex Hull,3-dimensional convex hull,parallel,1987.0,"Dadoun, Kirkpatrick [randomized]",$O(n \log^2 n)$,n,points,input points,True,kept
Convex Hull,3-dimensional Convex Hull,3-dimensional convex hull,parallel,1987.0,"Dadoun, Kirkpatrick [deterministic]",$O(n \log^2 n \log* n)$,n,points,input points,True,kept
Convex Hull,2-dimensional Convex Hull,2-dimensional convex hull,parallel,1988.0,Miller; Stout,$O(n \log n)$,n,points,input points,True,kept
Convex Hull,2-dimensional Convex Hull,2-dimensional convex hull,parallel,1988.0,"Aggarwal, Chazelle, Guibas, Ó'Dúnlaing, Yap",$O(n \log n)$,n,points,input points,True,kept
Convex Hull,2-dimensional Convex Hull,2-dimensional convex hull,parallel,1988.0,"Cole, Goodrich",$O(n \log n)$,n,points,input points,True,kept
Convex Hull,3-dimensional Convex Hull,3-dimensional convex hull,parallel,1988.0,"Aggarwal, Chazelle, Guibas, Ó'Dúnlaing, Yap",$O(n \log^3 n)$,n,points,input points,True,kept
Convex Hull,2-dimensional Convex Hull,2-dimensional convex hull,parallel,1989.0,Akl,$O(n \log n)$,n,points,input points,True,kept
Convex Hull,2-dimensional Convex Hull,2-dimensional convex hull,parallel,1991.0,"Ghouse, Goodrich (following [Kirkpatrick, Seidel (1986)])",$O(n \log h)$,n,points,input points,True,kept; substituted worst-case hull size for 'h'
Convex Hull,2-dimensional Convex Hull,2-dimensional convex hull,parallel,1991.0,"Ghouse, Goodrich [Theorem 5]",$O(n \log h)$,n,points,input points,True,kept; substituted worst-case hull size for 'h'
Convex Hull,3-dimensional Convex Hull,3-dimensional convex hull,parallel,1991.0,"Ghouse, Goodrich (following [Edelsbrunner, Shi (1991)])",$O(n \log^2 h)$,n,points,input points,True,kept; substituted worst-case hull size for 'h'
Convex Hull,3-dimensional Convex Hull,3-dimensional convex hull,parallel,1991.0,"Ghouse, Goodrich [Theorem 6]","$O(n*min(\log n, \log^2 h))$",n,points,input points,True,kept; substituted worst-case hull size for 'h'
Convex Hull,3-dimensional Convex Hull,3-dimensional convex hull,parallel,1992.0,"Amato, Preparata",$O(n \log^2 n)$,n,points,input points,True,kept
Convex Hull,3-dimensional Convex Hull,3-dimensional convex hull,parallel,1992.0,"Reif, Sen",$O(n \log n)$,n,points,input points,True,kept
Convex Hull,3-dimensional Convex Hull,3-dimensional convex hull,parallel,1993.0,Goodrich,$O(n \log n)$,n,points,input points,True,kept
Convex Hull,3-dimensional Convex Hull,3-dimensional convex hull,parallel,1994.0,"Amato, Goodrich, Ramos [output-sensitive] (1)",$O(n \log h)$,n,points,input points,True,kept; substituted worst-case hull size for 'h'
Convex Hull,3-dimensional Convex Hull,3-dimensional convex hull,parallel,1994.0,"Amato, Goodrich, Ramos [randomized] (2)",$O(n+n \log n)$,n,points,input points,True,kept
Convex Hull,2-dimensional Convex Hull,2-dimensional convex hull,parallel,1994.0,"Amato, Goodrich, Ramos [randomized] (3)",$O(n+n \log n)$,n,points,input points,True,kept
Convex Hull,2-dimensional Convex Hull,2-dimensional convex hull,parallel,1997.0,"Gupta, Sen",$O(n \log h)$,n,points,input points,True,kept; substituted worst-case hull size for 'h'
Convex Hull,3-dimensional Convex Hull,3-dimensional convex hull,parallel,2003.0,"Gupta, Sen",$O(n \log h)$,n,points,input points,True,kept; substituted worst-case hull size for 'h'
Convex Hull,2-dimensional Convex Hull,2-dimensional convex hull,parallel,2010.0,"Blelloch, Maggs [Parallel MergeHull]",$O(n \log n)$,n,points,input points,True,kept
Convex Hull,2-dimensional Convex Hull,2-dimensional convex hull,parallel,2020.0,"Blelloch, Gu, Shun, Sun (1)",$O(n \log n)$,n,points,input points,True,kept
